srr	rc	offset	p	fdr
SRR1802140	29	12	3.53404523830052e-62	4.13415330472732e-60
SRR1610247	29	12	4.76967248923125e-62	5.47432410414976e-60
SRR1535523	28	12	1.02254036373399e-61	1.15187278381368e-59
SRR1535521	29	12	3.7120514721851e-61	4.05858537123645e-59
SRR1257261	28	12	3.73632715418776e-61	4.05858537123645e-59
SRR1535522	28	12	3.83260258691538e-61	4.09012658529934e-59
SRR1610249	28	12	4.16781900718637e-61	4.3711798311577e-59
SRR1758380	28	12	5.0404334804891e-61	5.1967723494602e-59
SRR627622	29	12	6.94599834672931e-61	7.0420846571924e-59
SRR1535520	29	12	7.07069842054002e-61	7.0509931954336e-59
SRR1257271	28	12	1.18555013900516e-60	1.16317766057555e-58
SRR1758378	28	12	1.72927811423776e-60	1.66971409030291e-58
SRR4293695	29	12	2.39881119042482e-60	2.27999507364909e-58
SRR2433794	28	12	4.90288745780417e-60	4.58834837012658e-58
SRR1802154	28	12	9.08137887104154e-60	8.37000419280995e-58
SRR1610247	28	12	9.29077916445446e-60	8.43519547125023e-58
SRR1758380	29	12	1.50664811842982e-59	1.34778536829538e-57
SRR4293695	30	12	1.61744852044264e-59	1.42593323910907e-57
SRR1257265	28	12	3.075386228067e-59	2.67251063219022e-57
SRR1257269	28	12	5.67940626498796e-59	4.86589131125659e-57
SRR1802147	28	12	1.00174940467443e-58	8.4633911508813e-57
SRR1758413	29	12	1.52584031217076e-58	1.27146392040202e-56
SRR1535521	28	12	1.58882152187589e-58	1.30605423210419e-56
SRR1802152	28	12	1.93537263867224e-58	1.56971623480576e-56
SRR1535519	29	12	3.53749989337743e-58	2.83139629623881e-56
SRR1535528	28	12	1.38364958783811e-57	1.09308317439211e-55
SRR1802153	28	12	3.54636030847419e-57	2.76570637903186e-55
SRR1535527	29	12	8.25823087543066e-57	6.35883777408161e-55
SRR1535527	28	12	1.28196706036428e-56	9.74775703524488e-55
SRR1528693	29	12	1.3258279556293e-56	9.83537982206798e-55
SRR1257264	28	12	1.32582795562975e-56	9.83537982206798e-55
SRR1535525	29	12	1.81081795628307e-56	1.3271332082012e-54
SRR1257254	28	12	1.29135445245857e-55	9.35155849322082e-54
SRR4293696	30	12	1.40046198133062e-55	1.00223649793343e-53
SRR4293693	30	12	2.7346168379925e-55	1.93426444482655e-53
SRR1257251	28	12	5.00482239314629e-55	3.49934880661022e-53
SRR1535530	28	12	5.66777949869853e-55	3.91785257847536e-53
SRR1535529	28	12	2.00027228532074e-54	1.36715239456248e-52
SRR1257266	28	12	2.32257061794396e-54	1.56979967432812e-52
SRR2064449	30	12	3.21272343873525e-54	2.14758205250841e-52
SRR1257272	28	12	3.7223044990461e-54	2.46117155083668e-52
SRR1585551	29	14	4.25733065700299e-54	2.78466047167195e-52
SRR1535520	28	12	4.41981121085354e-54	2.86018208464065e-52
SRR1758381	29	12	8.27284447183718e-54	5.29723293917743e-52
SRR4293694	29	12	1.22021834661115e-53	7.73186271087045e-52
