samples	reads	mapped	chimera	multimappers	multimappers_toomany	unmapped_tooshort	unmapped_other
hg19/STAR/SRR2064455	23933658	3181543	333	16620618	1521974	2579993	29530
hg19/STAR/SRR2064456	29331563	6302654	525	17170991	990081	4839135	28702
hg19/STAR/SRR2064566	21450548	3842279	445	12511611	2153581	2884194	58883
hg19/STAR/SRR2064567	21105280	3758408	410	12353332	2113057	2821777	58706
hg19/STAR/SRR2075417	29365657	8529381	124979	13945663	1075141	1652032	4163440
hg19/STAR/SRR2075418	62485200	36111788	2409107	16398325	1307025	6800072	1867990
hg19/STAR/SRR2075419	25609568	10547226	122611	11804346	779357	1944536	534103
hg19/STAR/SRR2075420	44646468	39170421	99084	2317581	33061	3039139	86266
hg19/STAR/SRR2086025	20147155	5646912	1220	13515741	248561	708963	26978
hg19/STAR/SRR2086026	26614236	7369772	1811	17931884	310493	974437	27650
hg19/STAR/SRR2086027	29175772	7740976	1576	20293626	367509	742240	31421
hg19/STAR/SRR2086028	39990203	10160918	2243	28690179	411918	681786	45402
hg19/STAR/SRR2086029	37914714	9841568	2168	26614949	389959	1022045	46193
hg19/STAR/SRR2086030	21868407	5478427	1250	15087436	212953	1063007	26584
hg19/STAR/SRR2086031	31675282	7598537	2446	22648827	364744	998696	64478
hg19/STAR/SRR2096964	33723181	7993075	1771	20078764	4479271	1033899	138172
hg19/STAR/SRR2096965	22746815	4302509	1226	15484702	2290904	609573	59127
hg19/STAR/SRR2096966	21666877	3473055	1185	15166526	2441861	535262	50173
hg19/STAR/SRR2096967	22008443	1118190	1167	18139875	2039529	666068	44781
hg19/STAR/SRR2096968	15402258	499400	810	13584165	900254	396384	22055
hg19/STAR/SRR2096969	22744923	1055259	1094	17971889	2952570	715417	49788
hg19/STAR/SRR2096970	24062717	5353337	1117	14856007	3045481	711334	96558
hg19/STAR/SRR2096971	18606012	3345656	1040	12936402	1801543	473670	48741
hg19/STAR/SRR2096972	18292542	2922705	787	12885473	2024980	417223	42161
hg19/STAR/SRR2096973	14244629	666715	1041	11847037	1253725	449745	27407
hg19/STAR/SRR2096974	22940123	708491	981	20401482	1298939	498803	32408
hg19/STAR/SRR2096975	25339316	1051041	1102	20543183	2970700	722758	51634
hg19/STAR/SRR2146889	28351718	12241707	1254	15047701	518394	520814	23102
hg19/STAR/SRR2146890	16992276	11869542	23	4439916	505365	144769	32684
hg19/STAR/SRR2146891	26826366	11919407	1282	13945458	459151	484854	17496
hg19/STAR/SRR2146892	15735649	11487079	38	3710279	385589	127725	24977
hg19/STAR/SRR2146893	36266729	10339890	1548	24741949	457914	709266	17710
hg19/STAR/SRR2146894	14864244	9993911	38	4166049	475343	203958	24983
hg19/STAR/SRR2433794.fastq.gz	31967082	20140492	2817	8768929	767873	2077255	212533
hg19/STAR/SRR2873530	26955628	12613033	493	11893386	2132373	262132	54704
hg19/STAR/SRR2873531	27036987	12651953	495	11921344	2129569	279428	54693
hg19/STAR/SRR2873532	33534639	15584166	884	13783908	3603778	431227	131560
hg19/STAR/SRR2873533	33700945	15660033	987	13848146	3603632	457088	132046
hg19/STAR/SRR2873534	35438255	14146609	2094	15458833	4604299	1096179	132335
hg19/STAR/SRR2873535	35606483	14219722	2046	15532620	4619078	1101936	133127
hg19/STAR/SRR2873536	37532494	15362408	1935	16924777	3457879	1726361	61069
hg19/STAR/SRR2873537	37770568	15457694	1782	17032751	3476769	1741376	61978
hg19/STAR/SRR2873538	31917615	14291166	1509	13601025	3114119	850367	60938
hg19/STAR/SRR2873539	31886586	14280262	1457	13588893	3105262	851038	61131
hg19/STAR/SRR2873686	12414268	3314025	988	5334796	304353	3455666	5428
hg19/STAR/SRR2873687	9979802	1382025	309	3910109	3363128	1321771	2769
hg19/STAR/SRR2873688	7779960	858956	250	2024690	4652114	242343	1857
hg19/STAR/SRR2873689	12685859	3007148	2249	6566508	2495010	602591	14602
hg19/STAR/SRR2873690	12663408	3002599	2154	6551985	2519377	575062	14385
hg19/STAR/SRR2873691	12337740	1937727	2284	4740857	4979359	674168	5629
hg19/STAR/SRR2873692	12363155	1930719	1835	4742028	5058069	626715	5624
hg19/STAR/SRR2873693	14298542	4172757	2046	7310112	1023329	1734479	57865
hg19/STAR/SRR2873694	14284761	4178266	2120	7300786	1024687	1723490	57532
hg19/STAR/SRR2873695	19953168	4735123	3267	10306102	2379671	2478732	53540
hg19/STAR/SRR2873696	19885992	4733458	2999	10281580	2381443	2436974	52537
hg19/STAR/SRR2873697	28923256	4788846	527	8676619	14774070	666038	17683
hg19/STAR/SRR2873698	29082201	4833554	543	8733050	14811330	686290	17977
hg19/STAR/SRR2873699	25066058	4222825	505	11028385	9177139	624248	13461
hg19/STAR/SRR2873700	25264923	4270269	581	11123958	9216016	641048	13632
hg19/STAR/SRR2873701	27350010	8011655	646	14010714	2531765	2645822	150054
hg19/STAR/SRR2873702	27569176	8075440	668	14118325	2547324	2677020	151067
hg19/STAR/SRR2873703	27486135	9511205	561	9631872	5084900	3081831	176327
hg19/STAR/SRR2873704	27687483	9579230	594	9704454	5110383	3116506	176910
hg19/STAR/SRR2874123	14832494	4394898	879	9979223	237584	203060	17729
hg19/STAR/SRR2874124	14609148	4329866	706	9845096	234755	181774	17657
hg19/STAR/SRR2874125	18655463	4300613	906	13233704	884440	186201	50505
hg19/STAR/SRR2874126	18338753	4227235	528	13031360	872128	158468	49562
hg19/STAR/SRR2874127	13466010	3463893	691	9721526	162668	104962	12961
hg19/STAR/SRR2874128	13259424	3417778	509	9580264	159451	88868	13063
hg19/STAR/SRR2874129	15780855	4742717	796	9807873	776736	408574	44955
hg19/STAR/SRR2874130	15531490	4670980	583	9669060	765943	381412	44095
hg19/STAR/SRR2874255	24139671	3355137	324	16756728	2064325	1912490	50991
hg19/STAR/SRR2874256	23846810	3285174	298	16612431	2025666	1873443	50096
hg19/STAR/SRR2954800	6614307	3247502	52	1651395	155167	1498791	61452
hg19/STAR/SRR2954801	3498569	1913548	27	965888	109316	480397	29420
hg19/STAR/SRR3306583	175320172	56030624	7630	111711826	1713906	5446714	417102
hg19/STAR/SRR3306584	241190744	120113400	7517	77178180	17420256	26084534	394374
hg19/STAR/SRR3306585	112052037	17062894	67263	81247511	525155	13136858	79619
hg19/STAR/SRR3306586	239300566	70221703	8447	89906307	62528036	15995735	648785
hg19/STAR/SRR3306587	241441199	102309042	7951	78272068	37629758	22810964	419367
hg19/STAR/SRR3306588	170374608	52621799	26523	108675196	1760546	7016359	300708
hg19/STAR/SRR3306589	240852391	123394570	9153	77118892	18516107	21405585	417237
hg19/STAR/SRR3317843	77345163	8392684	7276	66481233	1132044	1295525	43677
hg19/STAR/SRR3317844	73828806	7853047	5363	62974938	1627284	1328509	45028
hg19/STAR/SRR3317845	70051209	6658616	6344	60997758	1025467	1320855	48513
